物品コード,物品名,カテゴリ,提供価格,,
,,,生徒販売価格,,
111-127954-11,春期　標準新演習　小6　算数　XT,教材,¥682,,
,説明文を開く,,¥955,,
,改訂:2021/02,,,,
111-127955-11,春期　標準新演習　小6　英語　XT,教材,¥682,,
,説明文を開く,,¥955,,
,改訂:2021/02,,,,
111-127513-11,標準新演習　小３　国語　ＸＴ,教材,"¥1,430",,
,説明文を開く,,"¥1,716",,
,改訂:2021/02,,,,
111-127514-11,標準新演習　小４　国語　ＸＴ,教材,"¥1,430",,
,説明文を開く,,"¥1,716",,
,改訂:2021/02,,,,
111-127515-11,標準新演習　小５　国語　ＸＴ,教材,"¥1,430",,
,説明文を開く,,"¥1,716",,
,改訂:2021/02,,,,
111-127516-11,標準新演習　小６　国語　ＸＴ,教材,"¥1,430",,
,説明文を開く,,"¥1,716",,
,改訂:2021/02,,,,
111-127517-11,標準新演習　小３　算数　ＸＴ,教材,"¥1,430",,
,説明文を開く,,"¥1,716",,
,改訂:2021/02,,,,
111-127518-11,標準新演習　小４　算数　ＸＴ,教材,"¥1,430",,
,説明文を開く,,"¥1,716",,
,改訂:2021/02,,,,
111-127519-11,標準新演習　小５　算数　ＸＴ,教材,"¥1,430",,
,説明文を開く,,"¥1,716",,
,改訂:2021/02,,,,
111-127520-11,標準新演習　小６　算数　ＸＴ,教材,"¥1,430",,
,説明文を開く,,"¥1,716",,
,改訂:2021/02,,,,
111-127521-11,標準新演習　小５　理科　ＸＴ,教材,"¥1,584",,
,説明文を開く,,"¥1,901",,
,改訂:2021/02,,,,
111-127522-11,標準新演習　小６　理科　ＸＴ,教材,"¥1,584",,
,説明文を開く,,"¥1,901",,
,改訂:2021/02,,,,
111-127525-11,標準新演習　小５　英語　ＸＴ,教材,"¥1,738",,
,説明文を開く,,"¥2,086",,
,改訂:2021/02,,,,
111-127526-11,標準新演習　小６　英語　ＸＴ,教材,"¥1,738",,
,説明文を開く,,"¥2,086",,
,改訂:2021/02,,,,
111-127686-11,ジュニア新演習　国語　小２上　ＸＴ,教材,"¥1,826",,
,説明文を開く,,"¥2,191",,
,改訂:2021/02,,,,
111-127687-11,ジュニア新演習　算数　小２上　ＸＴ,教材,"¥1,826",,
,説明文を開く,,"¥2,191",,
,改訂:2021/02,,,,
111-127688-11,ジュニア新演習　国語　小３上　ＸＴ,教材,"¥1,826",,
,説明文を開く,,"¥2,191",,
,改訂:2021/02,,,,
111-127689-11,ジュニア新演習　算数　小３上　ＸＴ,教材,"¥1,826",,
,説明文を開く,,"¥2,191",,
,改訂:2021/02,,,,
111-127690-11,ジュニアトレーニング　漢字　小２上　ＸＴ,教材,"¥1,056",,
,説明文を開く,,"¥1,478",,
,改訂:2021/02,,,,
111-127691-11,ジュニアトレーニング　計算　小２上　ＸＴ,教材,"¥1,056",,
,説明文を開く,,"¥1,478",,
,改訂:2021/02,,,,
111-127692-11,ジュニアトレーニング　漢字　小３上　ＸＴ,教材,"¥1,056",,
,説明文を開く,,"¥1,478",,
,改訂:2021/02,,,,
111-127693-11,ジュニアトレーニング　計算　小３上　ＸＴ,教材,"¥1,056",,
,説明文を開く,,"¥1,478",,
,改訂:2021/02,,,,
111-127694-11,ジュニア新演習　国語　小２下　ＸＴ,教材,"¥1,826",,
,改訂:2021/02,,"¥2,191",,
111-127695-11,ジュニア新演習　算数　小２下　ＸＴ,教材,"¥1,826",,
,改訂:2021/02,,"¥2,191",,
111-127696-11,ジュニア新演習　国語　小３下　ＸＴ,教材,"¥1,826",,
,改訂:2021/02,,"¥2,191",,
111-127697-11,ジュニア新演習　算数　小３下　ＸＴ,教材,"¥1,826",,
,改訂:2021/02,,"¥2,191",,
111-127698-11,ジュニアトレーニング　漢字　小２下　ＸＴ,教材,"¥1,056",,
,改訂:2021/02,,"¥1,478",,
111-127699-11,ジュニアトレーニング　計算　小２下　ＸＴ,教材,"¥1,056",,
,改訂:2021/02,,"¥1,478",,
111-127700-11,ジュニアトレーニング　漢字　小３下　ＸＴ,教材,"¥1,056",,
,改訂:2021/02,,"¥1,478",,
111-127701-11,ジュニアトレーニング　計算　小３下　ＸＴ,教材,"¥1,056",,
,改訂:2021/02,,"¥1,478",,
111-127702-11,毎日の計算トレーニング　小４　ＸＴ,教材,"¥1,166",,
,説明文を開く,,"¥1,399",,
,改訂:2021/02,,,,
111-127703-11,毎日の計算トレーニング　小５　ＸＴ,教材,"¥1,166",,
,説明文を開く,,"¥1,399",,
,改訂:2021/02,,,,
111-127704-11,毎日の計算トレーニング　小６　ＸＴ,教材,"¥1,166",,
,説明文を開く,,"¥1,399",,
,改訂:2021/02,,,,
111-127705-11,算数トレーニング小３　ＸＴ,教材,¥880,,
,説明文を開く,,"¥1,232",,
,改訂:2021/02,,,,
111-127706-11,算数トレーニング小４　ＸＴ,教材,¥880,,
,説明文を開く,,"¥1,232",,
,改訂:2021/02,,,,
111-127707-11,算数トレーニング小５　ＸＴ,教材,¥880,,
,説明文を開く,,"¥1,232",,
,改訂:2021/02,,,,
111-127708-11,算数トレーニング小６　ＸＴ,教材,¥880,,
,説明文を開く,,"¥1,232",,
,改訂:2021/02,,,,
111-127709-11,漢字ガイダンス　小３　ＸＴ　【取り寄せ】,教材,¥770,,
,説明文を開く,,"¥1,078",,
,改訂:2021/02,,,,
111-127727-11,漢字ガイダンス　小６　ＸＴ　【取り寄せ】,教材,¥770,,
,説明文を開く,,"¥1,078",,
,改訂:2021/02,,,,
111-127733-11,中学国文法　ＸＴ,教材,"¥1,012",,
,説明文を開く,,"¥1,417",,
,改訂:2021/02,,,,
111-127718-11,i-kids ENGLISH BOOK1 単語　ＸＴ　【取り寄せ】,教材,"¥1,186",,
,説明文を開く,,"¥1,423",,
,改訂:2021/02,,,,
111-127719-11,i-kids ENGLISH BOOK1 文法　ＸＴ　【取り寄せ】,教材,"¥1,186",,
,説明文を開く,,"¥1,423",,
,改訂:2021/02,,,,
111-127720-11,i-kids ENGLISH BOOK1 会話　ＸＴ　【取り寄せ】,教材,"¥1,186",,
,説明文を開く,,"¥1,423",,
,改訂:2021/02,,,,
111-127721-11,i-kids ENGLISH BOOK2 単語　ＸＴ　【取り寄せ】,教材,"¥1,186",,
,説明文を開く,,"¥1,423",,
,改訂:2021/02,,,,
111-127722-11,i-kids ENGLISH BOOK2 文法　ＸＴ　【取り寄せ】,教材,"¥1,186",,
,説明文を開く,,"¥1,423",,
,改訂:2021/02,,,,
111-127723-11,i-kids ENGLISH BOOK2 会話　ＸＴ　【取り寄せ】,教材,"¥1,186",,
,説明文を開く,,"¥1,423",,
,改訂:2021/02,,,,
111-127962-11,文章の読解スキルが身につく　ベーシック,教材,"¥1,012",,
,説明文を開く,,"¥1,417",,
,改訂:2021/02,,,,
